num,first_author,title,finding_id,finding_type,severity,status,message,links
2019-02,Kristal,What we can learn from five naturalistic field experiments that failed to shift commuter behaviour,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/39rja/ https://osf.io/39rja,https://osf.io/39rja/ https://osf.io/39rja
2019-03,Gagnepain,Collective memory shapes the organization of individual memories in the medial prefrontal cortex,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/rsagroup/rsatoolbox,https://github.com/rsagroup/rsatoolbox
2019-04,Van de Vliert,The global ecology of differentiation between us and them,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: As indicated in the Methods, all data are available for visual inspection ( Supp...",
2019-05,Earle,Questioning white losses and anti-white discrimination in the United States,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data are publicly accessible online. Data from Sample 1 can be found at http...",
2019-06,Oh,Economic status cues from clothes affect perceived competence from faces,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/v2j43 https://osf.io/v2j43/,https://osf.io/v2j43 https://osf.io/v2j43/ https://github.com/markallenthornton/affectr
2019-07,Ruck,The cultural foundations of modern democracies,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/damianruck/Cultural_foundations_of_modern_democracies,https://github.com/damianruck/Cultural_foundations_of_modern_democracies
2019-09,Bellmund,Deforming the metric of cognitive maps distorts memory,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-10,Lees,Inaccurate group meta-perceptions drive negative out-group attributions in competitive contexts,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/zhysa https://osf.io/zhysa/,https://osf.io/zhysa https://osf.io/zhysa/
2019-11,Schad,Dissociating neural learning signals in human sign- and goal-trackers,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Source data are available for Figs. 1–6 and Supplementary Figs. 2–12 . Data shar...",
2019-12,Ben Simon,Overanxious and underslept,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
