claim	quantity	manuscript	reimpl	verdict
C3	t at mean=145	5.48 (p<.001)	5.48	OK
C4	t at mean=140	-8.22 (p=1)	-8.22	OK
C3	TOST p at 145	< .001	3.37e-06	OK
C4	TOST p at 140	1 (>.999)	1.00	OK
C3	SGPV at 145	1	1.0000	OK
C4	SGPV at 140	0	0.0000	OK
C6	TOST p=0.5 @ bound	143	0.5000	OK
C6	TOST p=0.5 @ bound	147	0.5000	OK
C7	situation B TOST p	0.025	0.0250	OK
C7	situation B SGPV	1	1.0000	OK
C8	situation C TOST p	0.975	0.9750	OK
C8	situation C SGPV	0	0.0000	OK
C9	Fig4 SGPV 1	0.76	0.76	OK
C9	Fig4 SGPV 2	0.81	0.81	OK
C9	Fig4 SGPV 3	0.86	0.86	OK
C9	Fig4 SGPV 4	0.91	0.91	OK
C10	Fig4 tail p 1	0.16	0.16	OK
C10	Fig4 tail p 2	0.12	0.12	OK
C10	Fig4 tail p 3	0.08	0.08	OK
C10	Fig4 tail p 4	0.05	0.05	OK
C9	Fig4 diff A-B/C-D overlap	-0.05 / -0.05	-0.05 / -0.05	OK
C10	Fig4 diff A-B/C-D tail	0.04 / 0.03	0.04 / 0.03	OK
C13	CI r=0 n=10	[-0.63, 0.63]	[-0.63, 0.63]	OK
C13	CI r=0.7 n=10	[0.13, 0.92]	[0.13, 0.92]	OK
C15	CI r=0.45 n=30	[0.11, 0.70]	[0.11, 0.70]	OK
C15	SGPV r=0.45 overlap	58.11%	58.11%	OK
C15	Fig12 overlaps r=+/-.45 > 50%	TRUE	r-.45=58.1% r.45=58.1%	OK
C16	extreme SGPV overlap	97.60%	97.57%	OK-NEAR
C11	Fig6/7 min TOST p >= 0.05	TRUE	0.2714	OK
C11	Fig6/7 SGPV plateau 0.5	0.5	const=TRUE val=0.500	OK
C12	Fig8 CI/eq width ratio	1.79	1.788	OK
C12	Fig9/10 SGPV plateau ~0.56	0.56	0.559	OK
C12	Fig9/10 SGPV constant range	TRUE		OK
C1	sgpv_formula==p_delta	identical	50/50	OK
