folder,id,first_author,title,doi,open_data,open_materials,open_repro,reproduced_by,P0,P1,P2,P3,findings_total,claims_audited,reproduction_verdict,key_caveat
01_Niemeyer_SampleSize,MP.2018.884,Niemeyer et al.,Publication Bias in Meta-Analyses of Posttraumatic Stress Disorder Interventions,10.15626/MP.2018.874,N/A,Yes,Yes,,0,0,4,2,6,52,Reproduces. Running the author's R code reproduces Table 1 exactly (all method-vs-MA differences) and the publication-bias simulation claims.,Methodological guidance paper; no simulation or empirical data to reproduce.
02_Rousselet_SkewedDistributions,MP.2019.1630,Rousselet,The Influence of Skewed Distributions on the Accuracy of Parametric Statistics,10.15626/MP.2019.1630,N/A,Yes,Yes,,0,0,1,4,5,56,Reproduces (near-exact). All FLP real-data values and Table 1 medians/skewness reproduce exactly; illustrative Monte-Carlo Table 2 is not byte-reproduced.,OSF contains only a cover letter PDF; no code or data files.
03_Brunner_PowerHeterogeneity,MP.2018.874,Brunner & Schimmack,Estimating Population Mean Power Under Conditions of Heterogeneity and Selection for Significance,10.15626/MP.2018.874,N/A,Yes,Yes,,0,1,2,2,5,17,"Partially reproduces. Study 1 Table 1 reproduces within Monte-Carlo error for all four methods, but the shipped p-uniform function has a lower/upper-tail bug and the published code URL is dead.",Primary code URL dead; OSF has manuscript only; open and reproducible analysis badge not fully substantiated.
04_Hunter_MultiplicityControl,MP.2019.1992,Hunter et al.,Multiplicity Control vs Replication: Making an Obvious Choice Even More Obvious,10.15626/MP.2019.1992,N/A,Yes,Yes,Erin M. Buchanan,0,0,1,4,5,16,Reproduces. OSF R code is live and reproducible; the simulation reproduces within Monte-Carlo error (all cells) supporting the multiplicity-control thesis.,OSF R script is a broken placeholder; open and reproducible analysis badge not substantiated.
05_Lakens_EquivalenceTesting,MP.2018.933,Lakens & Delacre,Equivalence Testing and the Second Generation P-Value,10.15626/MP.2018.933,N/A,Yes,Yes,Andre Kalmendal,0,0,1,1,2,24,Fully reproduces. The full TOST/SGPV relationship reproduces in R and Python and against the author's own function; prose typo and empty OSF archiving.,OSF has manuscript only; Shiny app serves as the code.
06_Holtz,MP.2019.1994,Holtz,,,,,,,0,0,0,0,0,0,Not audited (non-empirical),
07_OlveraAstivia,MP.2019.1995,Olvera-Astivia,,,,,,,0,0,0,0,0,0,Not audited (non-empirical),
08_Hanel,MP.2019.1996,Hanel,,,,,,,0,0,0,0,0,0,Not audited (non-empirical),
09_EvansNavarro,MP.2019.1997,Evans & Navarro,,,,,,,0,0,0,0,0,0,Not audited (non-empirical),
10_WilliamsBuerkner_HofmannCritique,MP.2018.872,Williams & Buerkner,Coding Errors Lead to Unsupported Conclusions: A critique of Hofmann et al. (2015),10.15626/2018.872,Yes,Yes,Yes,Andre Kalmendal,0,0,1,1,2,24,Reproduces. Core re-analysis numbers reproduce exactly from OSF data/code in live R and independent Python; version-fragile duplicate script.,OSF J2QGS is empty; analysis on secondary project (kd3en); open data badge not substantiated.
11_FrancisThunell_CalorieExcessSuccess,MP.2019.2266,Francis & Thunell,Excess success in calorie labeling (Dallas et al. 2019),10.15626/MP.2019.2266,No,Yes,Yes,N. Brown / P. Langford,0,0,2,1,3,29,Reproduces. Excess-success replication probability (~0.014) reproduces from the author's R code and independent Python; provenance/hygiene findings.,OSF code files show size=0; main OSF project has only a cover letter.
