claim,quantity,manuscript,reimplementation,verdict,source
C1-C12,Table1 medians (12),509..594,509..594 (12/12),OK,"R miller1988 + author miller_exg_param"
C13-C24,Table1 skewness (12),92..6,92..6 (12/12),OK,"R miller1988 + author miller_exg_param"
C25,Table2 median mean-bias integers (120),printed ints,73/120 exact;118/120 within +-2;max3,WARN,"author sim_miller1988.RData"
C25,Table2 independent reimpl (120),printed ints,64/120 exact;117/120 within +-2;max3,APPROX,"R seed21 / Python numpy"
C26,pop median Figure1,508.7,508.7,OK,"R seed4"
C27,mean bias n10 Figure1,2.5,2.5,OK,"R seed44"
C28,median bias n10 Figure1,15.1,15.4,APPROX,"R seed44 MC"
C29,median bias n100 Figure1,0.7,0.9,APPROX,"R seed44 MC"
C30,single-sample median,535.6,not reproduced (RNG drift),NOTCHECK,"sample() version"
C31,boot mean 722.6/bias187/BC348.6,723/187/349,not reproduced,NOTCHECK,"sample() version"
C32,100 exp avg 515.1/498.8,515.1/498.8,not reproduced,NOTCHECK,"sample() version"
C33,1000 exp avg 522.1/508.6,522.1/508.6,not reproduced,NOTCHECK,"sample() version"
C34,group-bias median max n10 bc,1.79,1.79,OK,"author bias_diff_size"
C35,group-bias mean max n10,0.88,0.88,OK,"author bias_diff_size"
C36,FP means-of-medians uneq >50%,>50%,max 60.6%,OK,"author sim_gp_fp2"
C37,FLP N participants,959,959,OK,"raw FLP data"
C38,FLP trials/cond,996-1001,996-1001,OK,"raw FLP data"
C39,% faster Word (median),96.4,96.4,OK,"raw FLP data"
C40,% faster Word (mean),94.8,94.8,OK,"raw FLP data"
C41,% larger skew Word (param),80,80.1,OK,"raw FLP data"
C42,% larger skew Word (mean-med),70,69.8,OK,"raw FLP data"
C43,MAD mean/median diff,57/54,57/54,OK,"raw FLP data"
C44,median diff bias n=10,-10.9,-10.9,OK,"author sim_bias_size_participants"
C45,80% HDI median diff n=10,[-17.1,-2.6],[-17.1,-2.6],OK,"author sim_bias_size_participants"
C46,median diff bias n=20,n=60,-4.8/-1,-4.8/-1,OK,"author sim_bias_size_participants"
C47,median-bias n10/n20 median,-1.9/-0.3,-1.9/-0.3,OK,"author sim_bias_size_participants"
C48,mean-bias & median-bias-of-mean,~0 / 6.9,-0.1 / 6.9,OK,"author sim_bias_size_participants"
C49,precision 70% within 10ms,59/56,59/56,OK,"author sim_precision"
C50,precision 90% within 20ms,37/38,37/38,OK,"author sim_precision"
C51,deciles all-positive / all-negative,83.2/1.4,83.2/1.4,OK,"raw FLP deciles"
C52,Spearman monotonic incr/decr,52.9/14.9,52.9/14.9,OK,"raw FLP deciles"
C53,20% trimmed mean per decile,59 66 72 77 82 86 89 91 89,59 66 72 77 81 86 89 91 89,APPROX,"raw FLP deciles (5th=81 vs 82)"
C54,Miller1988 citation count,187 (2019-04-18),not checkable,NOTCHECK,"Google Scholar"
C55,Whelan2008 citation count,438,not checkable,NOTCHECK,"Google Scholar"
C56,Ratcliff1993 citation count,1930 (2019-04-24),not checkable,NOTCHECK,"Google Scholar"
