subject;variables.currentgroupnumber;blockcode;blocknum;trialcode;trialnum;response;correct;latency;stimulusnumber1;stimulusitem1;stimulusnumber2;stimulusitem2;stimulusnumber3;stimulusitem3
2;2;intro;1;intro;1;28;0;6950;1;humfak_leiste.jpg;1;S O C I A L     C O G N I T I O N     C O L O G N E;1;Herzlich Willkommen!
2;2;david;2;face_instr;1;weiter;0;22779;1;Bilden Sie sich bitte einen ersten Eindruck von der geschilderten Person;1;"Ihnen wird im Folgenden eine Person vorgestellt. Zuerst werden Sie kurz das Gesicht der Person gezeigt bekommen. Danach werden Sie einen kurzen Text über die Person lesen. Bilden Sie sich bitte einen ersten Eindruck von der geschilderten Person. Wir werden Ihnen später Fragen zu dieser Person stellen.    Wenn Sie bereit sind, klicken Sie auf ""Weiter"", um das Gesicht anzuzeigen.   Nach 10 Sekunden geht es dann automatisch weiter zum Text.";1;weiter.jpg
2;2;david;2;david_pic;2;0;0;10000;1;base_face.jpg;0;0;0;0
2;2;david;2;david;3;weiter;0;76317;1;David S. arbeitet als Abteilungsleiter in einer großen Firma in Frankfurt am Main. Er beginnt seinen Arbeitstag meist gegen 8:30 Uhr und beendet ihn um 18 Uhr, freitags macht er etwas früher Schluss.    Aufgrund seiner beruflichen Erfahrung wurde er schon mehrfach gefragt, ob er sich vorstellen könnte, im Gemeinderat der örtlichen Kirchengemeinde mitzuarbeiten, in dem auch sein Vater tätig ist. Bislang hat er sich jedoch dagegen entschieden.    In seiner Freizeit treibt er zweimal die Woche Sport, liest viel und engagiert sich in einer Organisation, die sich für Entschädigungszahlungen an noch lebende ehemalige jüdische KZ-Insassen einsetzt.    Gesundheitlich geht es David S. gut. Außer einem geringfügig erhöhten Blutdruck hat er keinerlei Beschwerden. Er lebt alleine in einer geräumigen Dachgeschosswohnung.;1;Bitte lesen Sie die Informationen über die Person aufmerksam durch, um sich einen ersten Eindruck von der geschilderten Person zu bilden.;1;weiter.jpg
2;2;panas;3;panas;1;3;0;4121;1;aktiv;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;2;3;0;2928;2;interessiert;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;3;4;0;4671;3;freudig erregt;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;4;4;0;3528;4;stark;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;5;4;0;2391;5;angeregt;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;6;4;0;1795;6;stolz;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;7;3;0;2127;7;begeistert;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;8;3;0;5822;8;wach;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;9;5;0;2081;9;entschlossen;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;10;5;0;1578;10;aufmerksam;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;11;1;0;3319;11;bekümmert;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;12;1;0;1862;12;verärgert;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;13;1;0;1296;13;schuldig;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;14;1;0;1360;14;erschrocken;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;15;1;0;1717;15;feindselig;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;16;1;0;1332;16;gereizt;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;17;1;0;1443;17;beschämt;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;18;1;0;1542;18;nervös;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;19;1;0;1692;19;durcheinander;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;panas;3;panas;20;1;0;1389;20;ängstlich;1;Ich fühle mich gerade jetzt in diesem Moment ...;0;0
2;2;facial_davids;4;binary_face_davids;1;23;0;3365;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;203;stimuli/warmth2014_m29-gaussian-15px_3_202.jpg;203;stimuli/warmth2014_m29-gaussian-15px_3_202_neg.jpg
2;2;facial_davids;4;binary_face_davids;2;23;0;10780;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;77;stimuli/warmth2014_m29-gaussian-15px_3_76.jpg;77;stimuli/warmth2014_m29-gaussian-15px_3_76_neg.jpg
2;2;facial_davids;4;binary_face_davids;3;18;0;5411;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;173;stimuli/warmth2014_m29-gaussian-15px_3_172.jpg;173;stimuli/warmth2014_m29-gaussian-15px_3_172_neg.jpg
2;2;facial_davids;4;binary_face_davids;4;23;0;1728;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;3;stimuli/warmth2014_m29-gaussian-15px_3_2.jpg;3;stimuli/warmth2014_m29-gaussian-15px_3_2_neg.jpg
2;2;facial_davids;4;binary_face_davids;5;23;0;4833;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;231;stimuli/warmth2014_m29-gaussian-15px_3_230.jpg;231;stimuli/warmth2014_m29-gaussian-15px_3_230_neg.jpg
2;2;facial_davids;4;binary_face_davids;6;18;0;4621;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;199;stimuli/warmth2014_m29-gaussian-15px_3_198.jpg;199;stimuli/warmth2014_m29-gaussian-15px_3_198_neg.jpg
2;2;facial_davids;4;binary_face_davids;7;23;0;5978;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;137;stimuli/warmth2014_m29-gaussian-15px_3_136.jpg;137;stimuli/warmth2014_m29-gaussian-15px_3_136_neg.jpg
2;2;facial_davids;4;binary_face_davids;8;23;0;6033;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;96;stimuli/warmth2014_m29-gaussian-15px_3_95.jpg;96;stimuli/warmth2014_m29-gaussian-15px_3_95_neg.jpg
2;2;facial_davids;4;binary_face_davids;9;18;0;3997;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;227;stimuli/warmth2014_m29-gaussian-15px_3_226.jpg;227;stimuli/warmth2014_m29-gaussian-15px_3_226_neg.jpg
2;2;facial_davids;4;binary_face_davids;10;23;0;7900;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;17;stimuli/warmth2014_m29-gaussian-15px_3_16.jpg;17;stimuli/warmth2014_m29-gaussian-15px_3_16_neg.jpg
2;2;facial_davids;4;binary_face_davids;11;18;0;10117;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;150;stimuli/warmth2014_m29-gaussian-15px_3_149.jpg;150;stimuli/warmth2014_m29-gaussian-15px_3_149_neg.jpg
2;2;facial_davids;4;binary_face_davids;12;23;0;4143;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;5;stimuli/warmth2014_m29-gaussian-15px_3_4.jpg;5;stimuli/warmth2014_m29-gaussian-15px_3_4_neg.jpg
2;2;facial_davids;4;binary_face_davids;13;18;0;4103;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;169;stimuli/warmth2014_m29-gaussian-15px_3_168.jpg;169;stimuli/warmth2014_m29-gaussian-15px_3_168_neg.jpg
2;2;facial_davids;4;binary_face_davids;14;23;0;7576;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;9;stimuli/warmth2014_m29-gaussian-15px_3_8.jpg;9;stimuli/warmth2014_m29-gaussian-15px_3_8_neg.jpg
2;2;facial_davids;4;binary_face_davids;15;23;0;4519;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;319;stimuli/warmth2014_m29-gaussian-15px_3_318.jpg;319;stimuli/warmth2014_m29-gaussian-15px_3_318_neg.jpg
2;2;facial_davids;4;binary_face_davids;16;23;0;11056;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;123;stimuli/warmth2014_m29-gaussian-15px_3_122.jpg;123;stimuli/warmth2014_m29-gaussian-15px_3_122_neg.jpg
2;2;facial_davids;4;binary_face_davids;17;18;0;2811;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;84;stimuli/warmth2014_m29-gaussian-15px_3_83.jpg;84;stimuli/warmth2014_m29-gaussian-15px_3_83_neg.jpg
2;2;facial_davids;4;binary_face_davids;18;23;0;5904;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;254;stimuli/warmth2014_m29-gaussian-15px_3_253.jpg;254;stimuli/warmth2014_m29-gaussian-15px_3_253_neg.jpg
2;2;facial_davids;4;binary_face_davids;19;23;0;6914;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;317;stimuli/warmth2014_m29-gaussian-15px_3_316.jpg;317;stimuli/warmth2014_m29-gaussian-15px_3_316_neg.jpg
2;2;facial_davids;4;binary_face_davids;20;23;0;3059;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;222;stimuli/warmth2014_m29-gaussian-15px_3_221.jpg;222;stimuli/warmth2014_m29-gaussian-15px_3_221_neg.jpg
2;2;facial_davids;4;binary_face_davids;21;23;0;3711;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;86;stimuli/warmth2014_m29-gaussian-15px_3_85.jpg;86;stimuli/warmth2014_m29-gaussian-15px_3_85_neg.jpg
2;2;facial_davids;4;binary_face_davids;22;18;0;13056;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;340;stimuli/warmth2014_m29-gaussian-15px_3_339.jpg;340;stimuli/warmth2014_m29-gaussian-15px_3_339_neg.jpg
2;2;facial_davids;4;binary_face_davids;23;18;0;1515;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;76;stimuli/warmth2014_m29-gaussian-15px_3_75.jpg;76;stimuli/warmth2014_m29-gaussian-15px_3_75_neg.jpg
2;2;facial_davids;4;binary_face_davids;24;23;0;1989;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;119;stimuli/warmth2014_m29-gaussian-15px_3_118.jpg;119;stimuli/warmth2014_m29-gaussian-15px_3_118_neg.jpg
2;2;facial_davids;4;binary_face_davids;25;23;0;2771;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;344;stimuli/warmth2014_m29-gaussian-15px_3_343.jpg;344;stimuli/warmth2014_m29-gaussian-15px_3_343_neg.jpg
2;2;facial_davids;4;binary_face_davids;26;23;0;4041;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;162;stimuli/warmth2014_m29-gaussian-15px_3_161.jpg;162;stimuli/warmth2014_m29-gaussian-15px_3_161_neg.jpg
2;2;facial_davids;4;binary_face_davids;27;18;0;2870;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;80;stimuli/warmth2014_m29-gaussian-15px_3_79.jpg;80;stimuli/warmth2014_m29-gaussian-15px_3_79_neg.jpg
2;2;facial_davids;4;binary_face_davids;28;18;0;2600;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;114;stimuli/warmth2014_m29-gaussian-15px_3_113.jpg;114;stimuli/warmth2014_m29-gaussian-15px_3_113_neg.jpg
2;2;facial_davids;4;binary_face_davids;29;18;0;7622;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;61;stimuli/warmth2014_m29-gaussian-15px_3_60.jpg;61;stimuli/warmth2014_m29-gaussian-15px_3_60_neg.jpg
2;2;facial_davids;4;binary_face_davids;30;18;0;6467;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;133;stimuli/warmth2014_m29-gaussian-15px_3_132.jpg;133;stimuli/warmth2014_m29-gaussian-15px_3_132_neg.jpg
