subject;variables.currentgroupnumber;blockcode;blocknum;trialcode;trialnum;response;correct;latency;stimulusnumber1;stimulusitem1;stimulusnumber2;stimulusitem2;stimulusnumber3;stimulusitem3
20;0;intro;1;intro;1;57;0;1230148;1;humfak_leiste.jpg;1;S O C I A L     C O G N I T I O N     C O L O G N E;1;Herzlich Willkommen!
20;0;demog;2;sex;1;2;1;17240;0;0;0;0;0;0
20;0;demog;2;bildung;1;3;1;17240;0;0;0;0;0;0
20;0;demog;2;citizen;2;1;1;6168;0;0;0;0;0;0
20;0;demog;2;migr;2;0;1;6168;0;0;0;0;0;0
20;0;control_instr;3;control_instr;1;start;0;5788;1;control.jpg;1;start.jpg;0;0
20;0;raketen;4;raketen;1;0;0;48000;1;raketen.wmv;0;0;0;0
20;0;raketen;4;raketen_items;2;5;0;9441;1;Dieser Fragebogen enthält eine Reihe von Wörtern, die unterschiedliche Gefühle und Empfindungen beschreiben. Bitte geben Sie an, wie sehr Sie die jeweilige Empfindung gefühlt haben, während Sie den Beitrag zur Situation der Menschen in Sderot sahen.;1;Während ich den Beitrag zur Situation der Menschen in Sderot sah, fühlte ich mich ...;11;bestürzt
20;0;raketen;4;raketen_items;3;1;0;5893;1;Dieser Fragebogen enthält eine Reihe von Wörtern, die unterschiedliche Gefühle und Empfindungen beschreiben. Bitte geben Sie an, wie sehr Sie die jeweilige Empfindung gefühlt haben, während Sie den Beitrag zur Situation der Menschen in Sderot sahen.;1;Während ich den Beitrag zur Situation der Menschen in Sderot sah, fühlte ich mich ...;2;warmherzig
20;0;raketen;4;raketen_items;4;3;0;3172;1;Dieser Fragebogen enthält eine Reihe von Wörtern, die unterschiedliche Gefühle und Empfindungen beschreiben. Bitte geben Sie an, wie sehr Sie die jeweilige Empfindung gefühlt haben, während Sie den Beitrag zur Situation der Menschen in Sderot sahen.;1;Während ich den Beitrag zur Situation der Menschen in Sderot sah, fühlte ich mich ...;14;verstört
20;0;raketen;4;raketen_items;5;5;0;3163;1;Dieser Fragebogen enthält eine Reihe von Wörtern, die unterschiedliche Gefühle und Empfindungen beschreiben. Bitte geben Sie an, wie sehr Sie die jeweilige Empfindung gefühlt haben, während Sie den Beitrag zur Situation der Menschen in Sderot sahen.;1;Während ich den Beitrag zur Situation der Menschen in Sderot sah, fühlte ich mich ...;10;bekümmert
20;0;raketen;4;raketen_items;6;4;0;1905;1;Dieser Fragebogen enthält eine Reihe von Wörtern, die unterschiedliche Gefühle und Empfindungen beschreiben. Bitte geben Sie an, wie sehr Sie die jeweilige Empfindung gefühlt haben, während Sie den Beitrag zur Situation der Menschen in Sderot sahen.;1;Während ich den Beitrag zur Situation der Menschen in Sderot sah, fühlte ich mich ...;9;aufgewühlt
